support_idx,support_size,loss,loss_ema,log_grad_ema,val_mse,val_rmse,val_mae,val_r2,val_heldout_loglik,val_nll,dS,churn,pred_improve_rel,loss_improve_rel,grad_slope,expected_support_soft,softgate_entropy,beta_soft_sd_mean,beta_soft_abs_mean,softgate_churn,moment_recovery_score,recovery_score,active_mean_zerr_median,active_mean_zerr_mean,active_sd_logerr_median,active_sd_logerr_mean,active_sd_ratio_median,active_sd_ratio_mean,sd_ratio_median,sd_ratio_mean,active_marg_skl_median,active_marg_skl_mean,active_joint_skl_median,active_joint_skl_mean,softgate_absdiff_median,softgate_absdiff_mean,zero_soft_leakage_median,zero_soft_leakage_mean,ckpt_id,stage,is_warmup,epoch,epoch_in_stage,tau,lr,grad_norm,log_grad,alert,best_so_far
"[2, 4, 5, 6, 8, 14, 15, 21, 24, 26, 29, 32, 33, 34, 38, 43, 44, 48, 50, 52, 53, 54, 56, 58, 59, 64, 67, 68, 71, 73, 74, 75, 79, 81, 89, 93, 94, 96, 99]",39,1240.79199219,1240.79199219,7.54042592,17.23569679,4.15158967,3.30314589,-0.00046611,-7.45646191,7.45646191,0,0.0,0.0,0.0,0.0,50.02632904,0.69189346,0.04115758,0.03272855,0.0,9.93553319,9.93553319,8.82623995,8.1891971,1.10929324,1.1284141,0.32979191,0.32596251,0.32979191,0.32596251,28.82734234,22.89107674,30.10856043,30.11885428,0.49997875,0.49728601,0.00191755,0.00222193,0,0,True,1,1,1.2,1e-05,1882.63171387,7.54042592,False,True
"[0, 1, 5, 7, 8, 13, 15, 16, 17, 19, 20, 23, 24, 25, 29, 30, 32, 35, 38, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 61, 62, 63, 65, 66, 68, 69, 70, 71, 72, 73, 77, 78, 79, 80, 81, 85, 89, 92, 93, 94, 98]",55,1178.54553223,1201.90942045,7.50993402,16.82693672,4.10206493,3.24759102,0.02326085,-6.90770912,6.90770912,16,0.69444444,0.0237159,0.05016672,-0.03049191,50.0551796,0.6919623,0.04193598,0.03591105,0.00333625,9.75013953,9.75013953,8.68792795,8.07569342,1.06221159,1.09270988,0.34569076,0.33713279,0.34569076,0.33713279,28.81771185,22.7933257,29.98249618,29.99760524,0.49953773,0.4968985,0.01639646,0.01599569,1,0,True,25,25,1.2,1e-05,1810.50695801,7.50136217,False,True
"[0, 1, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 30, 32, 34, 35, 37, 38, 39, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 88, 89, 91, 92, 93, 94, 95, 96, 97, 98]",84,1111.62304688,1136.62524743,7.50202437,15.7098074,3.96355994,3.10288382,0.08810592,-6.10441351,6.10441351,29,0.3452381,0.06638935,0.05678396,-0.00790965,51.27386093,0.6912871,0.04466879,0.04494834,0.01227506,9.57794834,9.57794834,8.57034818,7.92208271,1.00760017,1.02850874,0.36510045,0.35945597,0.36510045,0.35945597,28.779493,22.6582453,29.95472848,29.97036345,0.51361355,0.50635326,0.03342719,0.0326452,2,0,True,50,50,1.2,1e-05,1817.75,7.50535475,False,True
"[0, 1, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 30, 32, 34, 35, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",89,1037.19348145,1063.25490144,7.50588909,14.45865917,3.80245436,2.95928955,0.16073028,-5.59423161,5.59423161,5,0.05617978,0.07964122,0.06695576,0.00386472,53.01296997,0.68916929,0.04813085,0.06004046,0.01746702,9.30043469,9.30043469,8.35728402,7.723227,0.94315068,0.93935457,0.38942295,0.39305439,0.38942295,0.39305439,28.73185089,22.48038189,29.79342392,29.80874279,0.53135442,0.5198721,0.05399399,0.0525229,3,0,True,75,75,1.2,1e-05,1825.56567383,7.50964518,False,True
"[0, 1, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",95,944.6036377,981.23080922,7.51325586,13.62427044,3.69110694,2.87715077,0.20916334,-5.15544415,5.15544415,6,0.06315789,0.05770858,0.0892696,0.00736677,55.17506027,0.68448156,0.05220701,0.08093385,0.02165285,8.87869171,8.87869171,8.07383624,7.48007478,0.80485547,0.83585644,0.44715541,0.43696911,0.44715541,0.43696911,28.66580229,22.40221219,29.71899413,29.74635264,0.55949327,0.53658464,0.08039516,0.07554328,4,0,True,100,100,1.2,1e-05,1837.0255127,7.51590297,False,True
"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",93,842.92266846,881.76641114,7.50614718,13.27560616,3.64357052,2.78756905,0.22940197,-4.65751982,4.65751982,-2,0.04166667,0.02559141,0.10764406,-0.00710868,57.67172623,0.67552888,0.05808982,0.11496534,0.02525678,8.25555483,8.25555483,7.60651835,7.13564623,0.64903648,0.68417872,0.52254923,0.50936193,0.52254923,0.50936193,28.60787161,21.99020632,29.60684941,29.62721928,0.59353023,0.55573553,0.11720625,0.10901498,5,0,True,125,125,1.2,1e-05,1804.47668457,7.4980259,False,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",99,720.40240479,762.59705211,7.39654527,14.29379654,3.78071376,2.89578462,0.17029992,-4.51051521,4.51051521,6,0.06060606,0.0,0.14535172,-0.10960191,61.42898941,0.65665275,0.06723585,0.1679877,0.03757262,7.33312274,7.33312274,6.90329629,6.60723685,0.42982644,0.46722865,0.65069282,0.63444425,0.65069282,0.63444425,28.3792742,21.01136378,29.34797254,29.36342952,0.6426872,0.58508387,0.17936978,0.15750934,6,0,True,150,150,1.2,1e-05,1527.85900879,7.33162269,False,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",100,626.62316895,655.80630542,6.96859432,17.81472206,4.22074899,3.23002648,-0.0340763,-5.10199594,5.10199594,1,0.01,0.0,0.13017618,-0.42795094,65.88964081,0.62498188,0.07931644,0.23529911,0.04460652,6.07280082,6.07280082,5.89703354,5.67714515,0.17576727,0.2313732,0.83888642,0.80911916,0.83888642,0.80911916,25.71747256,19.17161058,29.12003964,29.1592301,0.69846466,0.61943473,0.23192367,0.2158448,7,0,True,175,175,1.2,1e-05,914.1003418,6.81794035,False,True
"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 83, 84, 85, 86, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98]",89,565.26647949,586.90895499,6.66972023,14.98200035,3.8706589,2.89618564,0.13035233,-4.01721382,4.01721382,-11,0.11,0.15901015,0.09791641,-0.29887409,64.43143463,0.63057345,0.07952417,0.23902717,0.01614387,5.48647639,5.48647639,5.40007437,4.84485218,0.08640202,0.18968008,0.9786329,0.89187711,0.9786329,0.89187711,21.96799701,16.85675544,28.9655391,29.02170284,0.6808143,0.6037822,0.20670158,0.20882496,8,0,True,200,200,1.2,1e-05,715.46990967,6.57293954,False,True
"[0, 1, 3, 5, 7, 8, 9, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 29, 30, 32, 35, 37, 38, 39, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 84, 85, 88, 89, 91, 92, 93, 94, 96, 97, 98]",75,519.21917725,535.52232529,6.35408671,11.88670158,3.44770961,2.63770151,0.31002255,-3.61032724,3.61032724,-14,0.15730337,0.20660117,0.08146123,-0.31563352,61.61804199,0.64059889,0.07987456,0.24127354,0.02894258,4.46825285,4.46825285,4.24288483,4.00454116,0.22536802,0.30073316,1.10984527,1.00756634,1.10984527,1.00756634,10.26597286,12.98172505,28.78878442,28.81116534,0.65545654,0.57569236,0.19791183,0.19899899,9,0,True,225,225,1.2,1e-05,493.996521,6.20252847,False,True
