support_idx,support_size,loss,loss_ema,log_grad_ema,val_mse,val_rmse,val_mae,val_r2,val_heldout_loglik,val_nll,dS,churn,pred_improve_rel,loss_improve_rel,grad_slope,expected_support_soft,softgate_entropy,beta_soft_sd_mean,beta_soft_abs_mean,softgate_churn,moment_recovery_score,recovery_score,active_mean_zerr_median,active_mean_zerr_mean,active_sd_logerr_median,active_sd_logerr_mean,active_sd_ratio_median,active_sd_ratio_mean,sd_ratio_median,sd_ratio_mean,active_marg_skl_median,active_marg_skl_mean,active_joint_skl_median,active_joint_skl_mean,softgate_absdiff_median,softgate_absdiff_mean,zero_soft_leakage_median,zero_soft_leakage_mean,ckpt_id,stage,is_warmup,epoch,epoch_in_stage,tau,lr,grad_norm,log_grad,alert,best_so_far
"[4, 6, 7, 14, 19, 23, 27, 28, 29, 30, 33, 35, 36, 46, 47, 48, 49, 55, 58, 61, 62, 63, 64, 65, 66, 80, 83, 90, 98]",29,1226.56213379,1226.56213379,7.56330478,8.03881645,2.83528067,2.19886255,-0.17108761,-4.00511837,4.00511837,0,0.0,0.0,0.0,0.0,49.87268448,0.69076735,0.0409246,0.03262924,0.0,7.19050797,7.19050797,6.10917403,8.37814675,1.08133395,1.09362797,0.33914757,0.33563431,0.33914757,0.33563431,28.83405021,26.29808005,30.04375739,30.04803741,0.49859485,0.48910039,0.00146813,0.00192334,0,0,True,1,1,0.8,1e-05,1926.20068359,7.56330478,False,True
"[0, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23, 24, 29, 32, 33, 36, 37, 38, 41, 42, 43, 46, 49, 51, 55, 56, 57, 58, 59, 60, 61, 64, 65, 67, 68, 69, 70, 71, 72, 73, 78, 79, 82, 83, 84, 85, 86, 88, 92, 93, 94, 95, 96, 97, 98]",63,1158.20202637,1183.46950003,7.53178018,7.88909149,2.80875266,2.18116283,-0.14927581,-3.74782729,3.74782729,34,0.75675676,0.01862525,0.0557331,-0.0315246,50.26205063,0.69040984,0.04251039,0.03626957,0.00548705,7.02126454,7.02126454,6.00309033,8.24660306,1.01817422,1.03580115,0.36125396,0.35563083,0.36125396,0.35563083,28.79312647,26.16368823,29.96393325,29.95444943,0.50106384,0.49144533,0.01615774,0.01615564,1,0,True,25,25,0.8,1e-05,1859.6776123,7.52815842,False,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 28, 29, 30, 31, 32, 33, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 78, 79, 81, 82, 83, 84, 85, 86, 87, 88, 89, 92, 93, 94, 95, 96, 97, 98, 99]",85,1082.53137207,1111.79930794,7.53539063,7.66458607,2.76849888,2.15196943,-0.11657006,-3.64809322,3.64809322,22,0.25882353,0.0284577,0.06533459,0.00361045,51.84544754,0.6892575,0.04515848,0.04540284,0.01641352,6.70496437,6.70496437,5.78139763,8.06708394,0.92356674,0.9328912,0.39721151,0.39458146,0.39721151,0.39458146,28.73275854,25.89847081,29.89671623,29.90551097,0.51833519,0.50358749,0.03271348,0.03294725,2,0,True,50,50,0.8,1e-05,1884.3260498,7.5413255,False,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 91, 92, 93, 94, 95, 96, 97, 98, 99]",90,1001.0692749,1032.47430422,7.55891868,7.7107935,2.77683156,2.19404268,-0.12330151,-3.38712549,3.38712549,5,0.07692308,0.0,0.07525149,0.02352805,54.42564774,0.68504816,0.04967069,0.0619467,0.02592514,6.44943148,6.44943148,5.61720402,7.87050676,0.83222746,0.85402964,0.43514797,0.42653996,0.43514797,0.42653996,28.67785454,25.49565505,29.7551654,29.75638804,0.54661745,0.52379632,0.05517337,0.05472279,3,0,True,75,75,0.8,1e-05,1941.75842285,7.57134925,False,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 91, 92, 93, 94, 95, 96, 97, 98, 99]",91,908.15313721,941.02238848,7.57787725,7.87380075,2.80602936,2.22843528,-0.14704827,-3.32295489,3.32295489,1,0.01098901,0.0,0.09281689,0.01895857,57.16244888,0.67561781,0.05493962,0.08554575,0.02777999,6.05429501,6.05429501,5.34379696,7.6085227,0.71049806,0.71055228,0.49140493,0.49241962,0.49140493,0.49241962,28.27358105,24.7202217,29.61406321,29.6178261,0.57981691,0.54485189,0.08314719,0.08106119,4,0,True,100,100,0.8,1e-05,1959.8963623,7.58064687,False,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",94,795.91717529,835.24431188,7.554612,8.43750477,2.90473833,2.2920835,-0.22916816,-3.35477257,3.35477257,3,0.05263158,0.0,0.12358704,-0.02326526,61.03828049,0.65736419,0.061696,0.12381247,0.03893979,5.41924523,5.41924523,4.84767402,7.11219323,0.57157122,0.55965834,0.56464086,0.57251999,0.56464086,0.57251999,26.26038793,22.54188135,29.47982106,29.47662515,0.62958794,0.57505675,0.12703791,0.11875007,5,0,True,125,125,0.8,1e-05,1860.3692627,7.52853028,False,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",95,675.30279541,718.47682728,7.36279749,9.62018013,3.10164152,2.48544693,-0.40145926,-3.50446939,3.50446939,1,0.01052632,0.0,0.15154137,-0.19181451,65.72723389,0.62364107,0.07291876,0.17973572,0.04693683,4.49841399,4.49841399,4.16843226,6.38040919,0.32998173,0.33986971,0.71893825,0.71277436,0.71893825,0.71277436,20.25439249,18.74936944,29.27131092,29.2705714,0.68590774,0.61166892,0.1778647,0.17152554,6,0,True,150,150,0.8,1e-05,1382.48779297,7.2316399,False,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",96,596.47088623,622.0837895,6.86597346,10.06337357,3.17228208,2.55343008,-0.46602328,-3.40165782,3.40165782,1,0.03092784,0.0,0.11673565,-0.49682403,69.52985382,0.5861721,0.08251852,0.2314487,0.03870761,3.53436932,3.53436932,3.369148,5.3411831,0.16522132,0.18271195,0.84799746,0.83552063,0.84799746,0.83552063,10.73065783,14.43469227,29.0783316,29.08544696,0.72972846,0.64073914,0.22534209,0.21252619,7,0,True,175,175,0.8,1e-05,811.13128662,6.69842992,False,True
"[0, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 29, 30, 31, 32, 33, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 91, 92, 93, 94, 95, 96, 97, 98, 99]",85,543.74987793,561.1147956,6.37472075,8.39402103,2.8972437,2.37764215,-0.22283349,-2.88316321,2.88316321,-11,0.11458333,0.16588399,0.08838823,-0.49125271,66.87463379,0.60017437,0.0834187,0.23416846,0.0278404,3.21869249,3.21869249,3.14969871,4.70986931,0.06899377,0.11597206,0.95768482,0.93559246,0.95768482,0.93559246,10.20790674,13.24329307,28.91538159,28.91529318,0.69713134,0.61354639,0.1893833,0.20504349,8,0,True,200,200,0.8,1e-05,498.09506226,6.21079095,False,True
"[0, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23, 24, 29, 30, 31, 32, 33, 36, 37, 38, 41, 42, 43, 44, 45, 46, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 78, 79, 82, 83, 84, 85, 86, 91, 92, 93, 94, 95, 96, 97, 98, 99]",76,506.03909302,519.67446196,6.00504111,5.84668207,2.41799133,2.04414344,0.14826057,-2.44346476,2.44346476,-9,0.10588235,0.30347064,0.06935318,-0.36967964,62.77669525,0.61700481,0.08222932,0.23338543,0.04186211,2.96988041,2.96988041,2.75724992,3.97385917,0.21263049,0.20137707,1.11679972,1.04301017,1.11679972,1.04301017,4.19724739,11.33518328,28.08972948,28.28617395,0.65486595,0.57285298,0.16700581,0.19400734,9,0,True,225,225,0.8,1e-05,351.45095825,5.86207018,False,True
